id,name,address,addressNumber,zipCode,districtCode,districtName,altitude,nearbyStations,location,stationType,lat,lon
460,460 JUAN VÁZQUEZ DE MELLA-HOMERO,460 JUAN VÁZQUEZ DE MELLA-HOMERO,S/R,11510,IRR,Irrigación,,"[198, 209, 240]","{'lat': 19.437014, 'lon': -99.207932}",BIKE,19.437014,-99.207932
461,461 PRESA DON MARTÍN-BOULEVARD MIGUEL DE CERVANTES,461 PRESA DON MARTÍN-BOULEVARD MIGUEL DE CERVANTES,S/N,11500,IRR,Irrigación,,"[197, 240, 460]","{'lat': 19.440106, 'lon': -99.210031}",BIKE,19.440106,-99.210031
462,462 PRESA FALCÓN-DANXHÓ,462 PRESA FALCÓN-DANXHÓ,S/N,11500,IRR,Irrigación,,"[197, 240, 463]","{'lat': 19.442338, 'lon': -99.205198}",BIKE,19.442338,-99.205198
355,355 CALIFORNIA-SACRAMENTO,355 - California-Sacramento,S/N,3100,ISB,Insurgentes San Borja,,"[345, 361]","{'lat': 19.38205, 'lon': -99.173291}",BIKE,19.38205,-99.173291
345,345 MIRAFLORES-PATRICIO SANZ,345 - Miraflores-Patricio Sanz,S/N,3100,ISB,Insurgentes San Borja,,"[334, 335, 346]","{'lat': 19.384498, 'lon': -99.172223}",BIKE,19.384498,-99.172223
346,346 SAN FRANCISCO-SANTA MARGARITA,346 - San Francisco-Santa Margarita,S/N,3100,ISB,Insurgentes San Borja,,"[334, 335, 345]","{'lat': 19.385019, 'lon': -99.174077}",BIKE,19.385019,-99.174077
361,361 PORFIRIO DÍAZ-CAPULÍN,361 - Porfirio Díaz-Capulín,S/N,3100,ISB,Insurgentes San Borja,,"[354, 369, 370]","{'lat': 19.380709, 'lon': -99.17508}",BIKE,19.380709,-99.17508
261,261 PASEO DE LA REFORMA - RÍO DE LA PLATA,261 Paseo de la Reforma-Río de la Plata,S/N,06500,JUA,Juárez,,"[195, 252, 253]","{'lat': 19.42495, 'lon': -99.17246}",BIKE,19.42495,-99.17246
21,21 REFORMA-DUBLIN,021 - Reforma - Dublin,S/N,06500,JUA,Juárez,,"[7, 13, 14, 28]","{'lat': 19.42472, 'lon': -99.17206}","BIKE,TPV",19.42472,-99.17206
22,22 REFORMA-MANCHESTER,022 - Reforma - Manchester,S/N,06500,JUA,Juárez,,"[14, 15, 23, 28]","{'lat': 19.424375, 'lon': -99.172575}","BIKE,TPV",19.424375,-99.172575
23,23 REFORMA-PRAGA,023 - Reforma - Praga,S/N,06500,JUA,Juárez,,"[15, 16, 22]","{'lat': 19.42517, 'lon': -99.17105}",BIKE,19.42517,-99.17105
24,24 REFORMA-VARSOVIA,024 - Reforma- Varsovia,S/N,06500,JUA,Juárez,,"[16, 23]","{'lat': 19.42647, 'lon': -99.16822}","BIKE,TPV",19.42647,-99.16822
25,25 REFORMA-ESTOCOLMO,025 - Reforma - Estocolmo,S/N,06500,JUA,Juárez,,"[17, 18]","{'lat': 19.427317, 'lon': -99.166662}",BIKE,19.427317,-99.166662
26,26 REFORMA-VERSALLES,026 - Reforma - Versalles,S/N,06500,JUA,Juárez,,[10],"{'lat': 19.432685, 'lon': -99.154726}","BIKE,TPV",19.432685,-99.154726
27,27 REFORMA-HAVRE,027 - Reforma- Havre,S/N,06500,JUA,Juárez,,"[19, 26, 31]","{'lat': 19.429115, 'lon': -99.162614}","BIKE,TPV",19.429115,-99.162614
28,28 TOLEDO-TOKIO,028 - Toledo- Tokio,S/N,06500,JUA,Juárez,,"[14, 21, 22]","{'lat': 19.423542, 'lon': -99.172494}",BIKE,19.423542,-99.172494
